,PassengerId,Pclass,Name,Sex,Age,Fare,Cabin,Embarked,Family
0,892,3,1,0,34.5,7.8292,0,2,0
1,893,3,2,1,47.0,7.0,0,3,1
2,894,2,1,0,62.0,9.6875,0,2,0
3,895,3,1,0,27.0,8.6625,0,3,0
4,896,3,2,1,22.0,12.2875,0,3,2
5,897,3,1,0,14.0,9.225,0,3,0
6,898,3,3,1,30.0,7.6292,0,2,0
7,899,2,1,0,26.0,29.0,0,3,2
8,900,3,2,1,18.0,7.2292,0,1,0
9,901,3,1,0,21.0,24.15,0,3,2
11,903,1,1,0,46.0,26.0,0,3,0
12,904,1,2,1,23.0,82.2667,2,3,1
13,905,2,1,0,63.0,26.0,0,3,1
14,906,1,2,1,47.0,61.175,5,3,1
15,907,2,2,1,24.0,27.7208,0,1,1
16,908,2,1,0,35.0,12.35,0,2,0
17,909,3,1,0,21.0,7.225,0,1,0
18,910,3,3,1,27.0,7.925,0,3,1
19,911,3,2,1,45.0,7.225,0,1,0
20,912,1,1,0,55.0,59.4,0,1,1
21,913,3,4,0,9.0,3.1708,0,3,1
23,915,1,1,0,21.0,61.3792,0,1,1
24,916,1,2,1,48.0,262.375,2,1,4
25,917,3,1,0,50.0,14.5,0,3,1
26,918,1,3,1,22.0,61.9792,2,1,1
27,919,3,1,0,22.5,7.225,0,1,0
28,920,1,1,0,41.0,30.5,1,3,0
30,922,2,1,0,50.0,26.0,0,3,1
31,923,2,1,0,24.0,31.5,0,3,2
32,924,3,2,1,33.0,20.575,0,3,3
34,926,1,1,0,30.0,57.75,3,1,1
35,927,3,1,0,18.5,7.2292,0,1,0
37,929,3,3,1,21.0,8.6625,0,3,0
38,930,3,1,0,25.0,9.5,0,3,0
40,932,3,1,0,39.0,13.4167,0,1,1
42,934,3,1,0,41.0,7.85,0,3,0
43,935,2,2,1,30.0,13.0,0,3,0
44,936,1,2,1,45.0,52.5542,4,3,1
45,937,3,1,0,25.0,7.925,0,3,0
46,938,1,1,0,45.0,29.7,1,1,0
48,940,1,2,1,60.0,76.2917,4,1,0
49,941,3,2,1,36.0,15.9,0,3,2
50,942,1,1,0,24.0,60.0,3,3,1
51,943,2,1,0,27.0,15.0333,0,1,0
52,944,2,3,1,20.0,23.0,0,3,3
53,945,1,3,1,28.0,263.0,3,3,5
55,947,3,4,0,10.0,29.125,0,2,5
56,948,3,1,0,35.0,7.8958,0,3,0
57,949,3,1,0,25.0,7.65,6,3,0
59,951,1,3,1,36.0,262.375,2,1,0
60,952,3,1,0,17.0,7.8958,0,3,0
61,953,2,1,0,32.0,13.5,0,3,0
62,954,3,1,0,18.0,7.75,0,3,0
63,955,3,3,1,22.0,7.725,0,2,0
64,956,1,4,0,13.0,262.375,2,1,4
66,958,3,3,1,18.0,7.8792,0,2,0
67,959,1,1,0,47.0,42.4,0,3,0
68,960,1,1,0,31.0,28.5375,3,1,0
69,961,1,2,1,60.0,263.0,3,3,5
70,962,3,3,1,24.0,7.75,0,2,0
71,963,3,1,0,21.0,7.8958,0,3,0
